image_filepath,Hubble_coarse
imagery/spiral/IC0484.jpg,spiral
imagery/spiral/IC0485.jpg,spiral
imagery/spiral/IC0486.jpg,spiral
imagery/spiral/IC0490.jpg,spiral
imagery/spiral/IC0491.jpg,spiral
imagery/spiral/IC0492.jpg,spiral
imagery/spiral/IC0493.jpg,spiral
imagery/lenticular/IC0494.jpg,lenticular
imagery/elliptical/IC0495.jpg,elliptical
imagery/lenticular/IC0496.jpg,lenticular
imagery/spiral/IC0497.jpg,spiral
imagery/spiral/IC0498.jpg,spiral
imagery/spiral/IC0501.jpg,spiral
imagery/elliptical/IC0502.jpg,elliptical
imagery/spiral/IC0503.jpg,spiral
imagery/lenticular/IC0504.jpg,lenticular
imagery/spiral/IC0505.jpg,spiral
imagery/elliptical/IC0506.jpg,elliptical
imagery/spiral/IC0508.jpg,spiral
imagery/spiral/IC0509.jpg,spiral
imagery/elliptical/IC0519.jpg,elliptical
imagery/lenticular/IC0521.jpg,lenticular
imagery/lenticular/IC0522.jpg,lenticular
imagery/spiral/IC0523.jpg,spiral
imagery/spiral/IC0526.jpg,spiral
imagery/spiral/IC0527.jpg,spiral
imagery/spiral/IC0528.jpg,spiral
imagery/spiral/IC0530.jpg,spiral
imagery/spiral/IC0534.jpg,spiral
imagery/spiral/IC0536.jpg,spiral
imagery/spiral/IC0540.jpg,spiral
imagery/spiral/IC0544.jpg,spiral
imagery/spiral/IC0545.jpg,spiral
imagery/lenticular/IC0548.jpg,lenticular
imagery/irregular/IC0549.jpg,irregular
imagery/spiral/IC0551.jpg,spiral
imagery/lenticular/IC0552.jpg,lenticular
imagery/lenticular/IC0554.jpg,lenticular
imagery/spiral/IC0557.jpg,spiral
imagery/elliptical/IC0558.jpg,elliptical
imagery/irregular/IC0559.jpg,irregular
imagery/spiral/IC0561.jpg,spiral
imagery/spiral/IC0563.jpg,spiral
imagery/spiral/IC0564.jpg,spiral
imagery/spiral/IC0568.jpg,spiral
imagery/elliptical/IC0569.jpg,elliptical
imagery/spiral/IC0570.jpg,spiral
imagery/spiral/IC0571.jpg,spiral
imagery/spiral/IC0572.jpg,spiral
imagery/lenticular/IC0576.jpg,lenticular
imagery/spiral/IC0577.jpg,spiral
imagery/spiral/IC0578.jpg,spiral
imagery/spiral/IC0581.jpg,spiral
imagery/spiral/IC0582.jpg,spiral
imagery/spiral/IC0583.jpg,spiral
imagery/spiral/IC0584.jpg,spiral
imagery/lenticular/IC0585.jpg,lenticular
imagery/spiral/IC0588.jpg,spiral
imagery/spiral/IC0591.jpg,spiral
imagery/elliptical/IC0595.jpg,elliptical
imagery/spiral/IC0596.jpg,spiral
imagery/lenticular/IC0598.jpg,lenticular
imagery/spiral/IC0601.jpg,spiral
imagery/spiral/IC0602.jpg,spiral
imagery/spiral/IC0605.jpg,spiral
imagery/spiral/IC0607.jpg,spiral
imagery/spiral/IC0610.jpg,spiral
imagery/lenticular/IC0612.jpg,lenticular
imagery/elliptical/IC0613.jpg,elliptical
imagery/spiral/IC0615.jpg,spiral
imagery/spiral/IC0616.jpg,spiral
imagery/spiral/IC0619.jpg,spiral
imagery/spiral/IC0620.jpg,spiral
imagery/spiral/IC0621.jpg,spiral
imagery/spiral/IC0623.jpg,spiral
imagery/spiral/IC0628.jpg,spiral
imagery/spiral/IC0634.jpg,spiral
imagery/spiral/IC0635.jpg,spiral
imagery/spiral/IC0636.jpg,spiral
imagery/lenticular/IC0637.jpg,lenticular
imagery/spiral/IC0638.jpg,spiral
imagery/spiral/IC0639.jpg,spiral
imagery/lenticular/IC0642.jpg,lenticular
imagery/lenticular/IC0643.jpg,lenticular
imagery/spiral/IC0646.jpg,spiral
imagery/spiral/IC0648.jpg,spiral
imagery/elliptical/IC0658.jpg,elliptical
imagery/elliptical/IC0660.jpg,elliptical
imagery/lenticular/IC0661.jpg,lenticular
imagery/elliptical/IC0662.jpg,elliptical
imagery/lenticular/IC0663.jpg,lenticular
imagery/lenticular/IC0664.jpg,lenticular
imagery/lenticular/IC0666.jpg,lenticular
imagery/elliptical/IC0667.jpg,elliptical
imagery/spiral/IC0668.jpg,spiral
imagery/lenticular/IC0669.jpg,lenticular
imagery/lenticular/IC0670.jpg,lenticular
imagery/spiral/IC0671.jpg,spiral
imagery/spiral/IC0674.jpg,spiral
imagery/lenticular/IC0676.jpg,lenticular
imagery/spiral/IC0677.jpg,spiral
imagery/elliptical/IC0678.jpg,elliptical
imagery/elliptical/IC0683.jpg,elliptical
imagery/elliptical/IC0685.jpg,elliptical
imagery/spiral/IC0686.jpg,spiral
imagery/elliptical/IC0687.jpg,elliptical
imagery/lenticular/IC0691.jpg,lenticular
imagery/elliptical/IC0692.jpg,elliptical
imagery/elliptical/IC0694.jpg,elliptical
imagery/spiral/IC0696.jpg,spiral
imagery/lenticular/IC0698.jpg,lenticular
imagery/spiral/IC0699.jpg,spiral
imagery/irregular/IC0701.jpg,irregular
imagery/lenticular/IC0705.jpg,lenticular
imagery/spiral/IC0707.jpg,spiral
imagery/elliptical/IC0708.jpg,elliptical
imagery/elliptical/IC0709.jpg,elliptical
imagery/lenticular/IC0710.jpg,lenticular
imagery/elliptical/IC0711.jpg,elliptical
imagery/elliptical/IC0712.jpg,elliptical
imagery/irregular/IC0718.jpg,irregular
imagery/lenticular/IC0719.jpg,lenticular
imagery/spiral/IC0722.jpg,spiral
imagery/spiral/IC0724.jpg,spiral
imagery/elliptical/IC0726.jpg,elliptical
imagery/spiral/IC0727.jpg,spiral
imagery/lenticular/IC0729.jpg,lenticular
imagery/spiral/IC0731.jpg,spiral
imagery/irregular/IC0732N.jpg,irregular
imagery/lenticular/IC0732S.jpg,lenticular
imagery/irregular/IC0735.jpg,irregular
imagery/elliptical/IC0736.jpg,elliptical
imagery/lenticular/IC0737.jpg,lenticular
imagery/spiral/IC0739.jpg,spiral
imagery/spiral/IC0742.jpg,spiral
imagery/spiral/IC0744.jpg,spiral
imagery/lenticular/IC0745.jpg,lenticular
imagery/spiral/IC0746.jpg,spiral
imagery/elliptical/IC0748.jpg,elliptical
imagery/spiral/IC0749.jpg,spiral
imagery/spiral/IC0750.jpg,spiral
imagery/spiral/IC0751.jpg,spiral
imagery/spiral/IC0752.jpg,spiral
imagery/spiral/IC0756.jpg,spiral
imagery/spiral/IC0762.jpg,spiral
imagery/spiral/IC0763.jpg,spiral
